Functional Block ,Enclosure,Instance per,Prefix,interface_inst_name,counter name,CounterType,IMG Counter,priority(0 is highest),Group,Signalwidth,sub num(counter num per PFM),PH NEW,desc,comment,CMP_WITH_CSIM,,OWNER,,,,,
WM,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_ACTIVE_CYCLES,CYCLE,,0,0,1,4,1,count when MPE has active waves,,,,,,,,,
PAP,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_PAP_INSTR_NUM,CYCLE,,0,0,1,4,1,count when MPE PAP executed a PAP  instruction (FQ ISSUE? per SIMD32),,TRUE,,,,,,,
SAP,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_SAP_INSTR_NUM,CYCLE,,0,0,1,4,1,count when MPE SAP executed a SAP  instruction,,,,,,,,,
PAP,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_ACTIVE_CYCLES_PAP,CYCLE,,0,0,1,4,0,count when MPE PAP executed a SIMD32 (after condition execution check?),,TRUE,,,,,,,
SAP,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_ACTIVE_CYCLES_SAP,CYCLE,,0,0,1,4,0,count when MPE SAP executed a SIMD32,,TRUE,,,,,,,
PAP,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_NON_EMPTY_CYCLES_PAP,CYCLE,,0,0,1,4,0,count when MPE PAP pipe has at least one instruction (DIFFERENCE BETWEEN ACTIVE CYCLE),,,,,,,,,
SAP,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_NON_EMPTY_CYCLES_SAP,CYCLE,,0,0,1,4,0,count when MPE SAP pipe has at least one instruction,,,,,,,,,
PAP,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_US_STALL_PAP_RD,CYCLE,,0,0,1,4,0,count when MPE Unified Store stall PAP request to read source data,,,,,,,,,
SAP,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_US_STALL_SAP_RD,CYCLE,,0,0,1,4,0,count when MPE Unified Store stall SAP request to read source data,,,,,,,,,
PAP,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_US_STALL_SAP_WR,CYCLE,,0,0,1,4,0,count when MPE Unified Store stall SAP request to write resulte data,,,,,,,,,
SAP,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_SHS_STALL_SAP_WR,CYCLE,,0,0,1,4,1,count when MPE Shared Store stall SAP request to write resulte data,,,,,,,,,
SAP,MP,MPE,,,MPE{N}_IRS_STALL_SAP_WR,,,,,,,,count when MPE  internal Store stall SAP request to write resulte data,,,,,,,,,
PAP/SAP,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_ALU_FRAG_WAVE,CYCLE_WORKLOAD,PERF_MP_ALU_FRAG,0,0,5,1,0,"PAP or SAP SIMD32 instruction number executed by PAP and SAP pipeline for frag. Max increment per cycle is PAP:1, SAP:0.5",,TRUE,,,,,,,
PAP/SAP,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_ALU_GEOM_WAVE,CYCLE_WORKLOAD,PERF_MP_ALU_GEOM,0,0,5,1,0,"PAP or SAP SIMD32 instruction number executed by PAP and SAP pipeline for frag. Max increment per cycle is PAP:1, SAP:0.5",,TRUE,,,,,,,
PAP/SAP,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_ALU_COMPUTE_WAVE,CYCLE_WORKLOAD,PERF_MP_ALU_COMP,0,0,5,1,0,"PAP or SAP SIMD32 instruction number executed by PAP and SAP pipeline for frag. Max increment per cycle is PAP:1, SAP:0.5",,TRUE,,,,,,,
PAP/SAP,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_ALU_FASTRENDER_WAVE,CYCLE_WORKLOAD,PERF_MP_ALU_FASTRENDER,0,0,5,1,0,"PAP or SAP SIMD32 instruction number executed by PAP and SAP pipeline for frag. Max increment per cycle is PAP:1, SAP:0.5",,TRUE,,,,,,,
PAP/SAP,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_ALU_FRAG_INST,CYCLE_WORKLOAD,PERF_MP_ALU_FRAG_INST,0,0,5,1,0,Number of valid instances PAP and SAP pipeline executed for frag. (after HQ/FQ) Max increment per cycle is PAP:32 SAP:16,,TRUE,,,,,,,
PAP/SAP,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_ALU_GEOM_INST,CYCLE_WORKLOAD,PERF_MP_ALU_GEOM_INST,0,0,5,1,0,Number of valid instances PAP and SAP pipeline executed for frag. (after HQ/FQ) Max increment per cycle is PAP:32 SAP:16,,TRUE,,,,,,,
PAP/SAP,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_ALU_COMPE{N}_INST,CYCLE_WORKLOAD,PERF_MP_ALU_COMP_INST,0,0,5,1,0,Number of valid instances PAP and SAP pipeline executed for frag. (after HQ/FQ) Max increment per cycle is PAP:32 SAP:16,,TRUE,,,,,,,
PAP/SAP,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_ALU_FASTRENDER_INST,CYCLE_WORKLOAD,PERF_MP_ALU_FASTRENDER_INST,0,0,5,1,0,Number of valid instances PAP and SAP pipeline executed for frag. (after HQ/FQ) Max increment per cycle is PAP:32 SAP:16,,TRUE,,,,,,,
PAP/SAP,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_ALU_FRAG_INST_PRED,CYCLE_WORKLOAD,PERF_MP_ALU_FRAG_INST_PRED,0,0,10,1,0,Number of valid instances PAP and SAP pipeline executed after CC kill for frag. Max increment per cycle is PAP:32 SAP:16,,TRUE,,,,,,,
PAP/SAP,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_ALU_GEOM_INST_PRED,CYCLE_WORKLOAD,PERF_MP_ALU_GEOM_INST_PRED,0,0,10,1,0,Number of valid instances PAP and SAP pipeline executed after CC kill for frag. Max increment per cycle is PAP:32 SAP:16,,TRUE,,,,,,,
PAP/SAP,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_ALU_COMPE{N}_INST_PRED,CYCLE_WORKLOAD,PERF_MP_ALU_COMP_INST_PRED,0,0,10,1,0,Number of valid instances PAP and SAP pipeline executed after CC kill for frag. Max increment per cycle is PAP:32 SAP:16,,TRUE,,,,,,,
PAP/SAP,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_ALU_FASTRENDER_INST_PRED,CYCLE_WORKLOAD,PERF_MP_ALU_FASTRENDER_INST_PRED,0,0,10,1,0,Number of valid instances PAP and SAP pipeline executed after CC kill for frag. Max increment per cycle is PAP:32 SAP:16,,TRUE,,,,,,,
PAP/SAP,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_ALU_FRAG_BLOCK,CYCLE_WORKLOAD,PERF_MP_ALU_FRAG_BLOCK,0,0,8,1,0,"Number of valid 2x2 pixel block PAP and SAP pipeline executed for frag. Max increment per cycle is 40(PAP 8, SAP 32)",,TRUE,,,,,,,
PAP/SAP,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_ALU_GEOM_BLOCK,CYCLE_WORKLOAD,PERF_MP_ALU_GEOM_BLOCK,0,0,8,1,0,"Number of valid 2x2 pixel block PAP and SAP pipeline executed for geom. Max increment per cycle is 40(PAP 8, SAP 32)",,TRUE,,,,,,,
PAP/SAP,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_ALU_COMPE{N}_BLOCK,CYCLE_WORKLOAD,PERF_MP_ALU_COMP_BLOCK,0,0,8,1,0,"Number of valid 2x2 pixel block PAP and SAP pipeline executed for comp. Max increment per cycle is 40(PAP 8, SAP 32)",,TRUE,,,,,,,
PAP/SAP,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_ALU_FASTRENDER_BLOCK,CYCLE_WORKLOAD,PERF_MP_ALU_FASTRENDER_BLOCK,0,0,8,1,0,"Number of valid 2x2 pixel block PAP and SAP pipeline executed for fast_render. Max increment per cycle is 40(PAP 8, SAP 32)",,TRUE,,,,,,,
MP,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_ISSUE_WAVE_NUM,WORKLOAD,,0,0,1,4,1,Cycles slot which issue successs. 1 cycle only issue 1 instruction. So max incr is 1. (Add in ictrl ac ),,,,,,,,,
HQ,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_ISSUE_FOP,WORKLOAD,,0,0,1,4,0,Number of MPE issued FOP instructions.,,,,,,,,,
HQ,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_ISSUE_DOT8,WORKLOAD,,0,0,1,4,0,Number of MPE issued DOT8 instructions.,,,,,,,,,
HQ,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_ISSUE_CVT,,,,,,,,,,,,,,,,,
ICTRL,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_ICTRL_HQ_DUALISSUE_NUM,,,,,,,,Count when there is 2 PAP instruction comes into HQ,,,,,,,,,
ICTRL,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_ICTRL_HQ_NO_DUAL_ISSUE_BY_INSTR_WORD_TOO_LONG.,,,,,,,,,,,,,,,,,
FQ,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_ISSUE_VOTE,,,,,,,,,,,,,,,,,
FQ,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_ISSUE_SHUFFLE,,,,,,,,,,,,,,,,,
FQ,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_ISSUE_INT,WORKLOAD,,0,0,1,4,0,Number of MPE issued INT instructions.,,,,,,,,,
FQ,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_ISSUE_BIT,WORKLOAD,,0,0,1,4,0,Number of MPE issued BIT instructions.,,,,,,,,,
FQ,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_ISSUE_MOV,WORKLOAD,,0,0,1,4,0,Number of MPE issued MOV instructions.,,,,,,,,,
FQ,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_ISSUE_ITR,WORKLOAD,,0,0,1,4,0,Number of MPE issued ITR instructions.,,,,,,,,,
FQ,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_ISSUE_LSU,WORKLOAD,,0,0,1,4,1,Number of MPE issued LSU instructions.,,,,,,,,,
