FunctionalPartition,InstancePer,CounterPrefix,CounterName,CounterType,CounterGroup,SignalWidth,Implementation,InstanceNum,CounterNameLegacy,type(P/C/CC),code,Description,RtlSignalPath,Note
Core,OpBuf,PC{m}_PG{n}_PU{o}_Core{p},OPBUF_VLSU_INSTR_NUM_A,WORKLOAD,0,1,MDL/EMU/SI,4,opbuff_a_issue_lsu,P,0,Issued VLSU instr number from OpBuf port A. Throughput 0.5 (16 thread each cycle)per cycle accumulate (half wave for same instr can be issued from different ports),,PC(Fused Stream PC) -> PC
Core,OpBuf,PC{m}_PG{n}_PU{o}_Core{p},OPBUF_VFP_INSTR_NUM_A,WORKLOAD,0,1,MDL/EMU/SI,4,opbuff_a_issue_vfp,P,1,Issue VFP instr number form OpBuf port A. Throughput 2x16 lane,,PG(Fused Stream Multiprocessor) -> NA
Core,OpBuf,PC{m}_PG{n}_PU{o}_Core{p},OPBUF_VLSU_STALL_CYCLE_A,CYCLE,0,1,EMU/SI,4,opbuff_a_lsu_hazard,P,2,VLSU stall OpBuf port A cycle count,,PU(Fused Stream Processor) -> PU
Core,OpBuf,PC{m}_PG{n}_PU{o}_Core{p},OPBUF_SFU_INSTR_NUM_B,WORKLOAD,0,1,MDL/EMU/SI,4,opbuff_b_issue_sfu,P,3,Issued SFU instr number from OpBuf port B. throughpu 16 lane per PU,,Core(Fused Stream Element) -> Core
Core,OpBuf,PC{m}_PG{n}_PU{o}_Core{p},OPBUF_VFP_INSTR_NUM_B,WORKLOAD,0,1,MDL/EMU/SI,4,opbuff_b_issue_vfp,P,4,issued VFP instr number from OpBuf port B.,,
Core,OpBuf,PC{m}_PG{n}_PU{o}_Core{p},OPBUF_SFU_STALL_CYCLE_B,CYCLE,0,1,EMU/SI,4,opbuff_b_sfu_hazard,P,5,SFU stall OpBuf port B cycle count,,
Core,OpBuf,PC{m}_PG{n}_PU{o}_Core{p},OPBUF_VLSU_INSTR_NUM_C,WORKLOAD,0,1,MDL/EMU/SI,4,opbuff_c_issue_lsu,P,6,Issued VLSU instr number from OpBuf port C. Throughput 0.5 (16 thread each cycle),,
Core,OpBuf,PC{m}_PG{n}_PU{o}_Core{p},OPBUF_VINT_INSTR_NUM_C,WORKLOAD,0,1,MDL/EMU/SI,4,opbuff_c_issue_vint,P,7,Issue VINT instr number form OpBuf port C. Throughput 0.5 (16 threads per cycle),,
Core,OpBuf,PC{m}_PG{n}_PU{o}_Core{p},OPBUF_VLSU_STALL_CYCLE_C,CYCLE,0,1,MDL/EMU/SI,4,opbuff_c_lsu_hazard,P,8,VLSU stall OpBuf port C cycle count,,
Core,OpBuf,PC{m}_PG{n}_PU{o}_Core{p},OPBUF_FILLED_ENTRY_TOTAL,WORKLOAD,0,OP_BUFF_BITS,EMU/SI,4,opbuff_waterline[`OP_BUFF_BITS:0],C,34,records the filled instr entry in the OpBuf,,
Core,OpBuf,PC{m}_PG{n}_PU{o}_Core{p},OPBUF_FILLED_ENTRY_VLSU,WORKLOAD,,,,4,opbuff_lsu_half_entry_num[`OP_BUFF_BITS*2:0],C,35,,,Why half entry then * 2？(half wave)
Core,OpBuf,PC{m}_PG{n}_PU{o}_Core{p},OPBUF_FILLED_ENTRY_SFU,WORKLOAD,,,,4,opbuff_sfu_half_entry_num[`OP_BUFF_BITS*2:0],C,36,,,
Core,OpBuf,PC{m}_PG{n}_PU{o}_Core{p},OPBUF_FILLED_ENTRY_VINT,WORKLOAD,,,,4,opbuff_vint_half_entry_num[`OP_BUFF_BITS*2:0],C,37,,,
